dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.005729519924598037
0,drummer1/eval_session/1,0,snare,5,15,5,10,0,0.3333333333333333,1.0,0.5,0.004192338197409695
0,drummer1/eval_session/1,0,tom,0,16,0,16,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,14,7,7,0,0.5,1.0,0.6666666666666666,0.017249887547602667
0,drummer1/eval_session/1,0,cymbal,9,14,8,6,1,0.5714285714285714,0.8888888888888888,0.6956521739130435,0.014483262830183651
1,drummer1/eval_session/1,4,kick,4,16,4,12,0,0.25,1.0,0.4,0.0026712404807095694
1,drummer1/eval_session/1,4,snare,7,14,6,8,1,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.011458837334981773
1,drummer1/eval_session/1,4,tom,0,15,0,15,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.0055076236212411745
1,drummer1/eval_session/1,4,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.023243956335895388
2,drummer1/eval_session/1,8,kick,3,17,3,14,0,0.17647058823529413,1.0,0.3,0.005802559127815718
2,drummer1/eval_session/1,8,snare,5,12,5,7,0,0.4166666666666667,1.0,0.5882352941176471,0.009791927338035066
2,drummer1/eval_session/1,8,tom,0,17,0,17,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.006878820788060938
2,drummer1/eval_session/1,8,cymbal,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.01931975442557143
3,drummer1/eval_session/1,16,kick,4,16,4,12,0,0.25,1.0,0.4,0.004158773077799684
3,drummer1/eval_session/1,16,snare,9,12,6,6,3,0.5,0.6666666666666666,0.5714285714285715,0.003611496232354285
3,drummer1/eval_session/1,16,tom,0,15,0,15,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,12,7,5,1,0.5833333333333334,0.875,0.7000000000000001,0.008642022448486584
