dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,15,3,12,0,0.2,1.0,0.33333333333333337,0.005729519924598037
0,drummer1/eval_session/1,0,snare,5,13,5,8,0,0.38461538461538464,1.0,0.5555555555555556,0.0039573493230910415
0,drummer1/eval_session/1,0,tom,0,15,0,15,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,12,6,6,1,0.5,0.8571428571428571,0.631578947368421,0.013780889796291634
0,drummer1/eval_session/1,0,cymbal,9,13,9,4,0,0.6923076923076923,1.0,0.8181818181818181,0.01821160166770497
1,drummer1/eval_session/1,4,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.0026825497389608034
1,drummer1/eval_session/1,4,snare,7,13,5,8,2,0.38461538461538464,0.7142857142857143,0.5,0.004095291262581268
1,drummer1/eval_session/1,4,tom,0,14,0,14,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.006001287190358842
1,drummer1/eval_session/1,4,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.022973142703799
2,drummer1/eval_session/1,8,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,11,5,6,0,0.45454545454545453,1.0,0.625,0.0037884318192157886
2,drummer1/eval_session/1,8,tom,0,12,0,12,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.009650101134735137
2,drummer1/eval_session/1,8,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.01823301857136429
3,drummer1/eval_session/1,16,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.005610020243332566
3,drummer1/eval_session/1,16,snare,9,15,6,9,3,0.4,0.6666666666666666,0.5,0.0036114962323542874
3,drummer1/eval_session/1,16,tom,0,14,0,14,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.0036144968211785883
3,drummer1/eval_session/1,16,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.02521607860203582
4,drummer1/eval_session/1,20,kick,4,16,4,12,0,0.25,1.0,0.4,0.0036100087396361527
4,drummer1/eval_session/1,20,snare,7,10,5,5,2,0.5,0.7142857142857143,0.588235294117647,0.003980958722886607
4,drummer1/eval_session/1,20,tom,0,12,0,12,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.004532069998623656
4,drummer1/eval_session/1,20,cymbal,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.024083194409441473
5,drummer1/eval_session/1,24,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.0013129174219091181
5,drummer1/eval_session/1,24,snare,4,13,4,9,0,0.3076923076923077,1.0,0.47058823529411764,0.004928515792028174
5,drummer1/eval_session/1,24,tom,0,13,0,13,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.006866552804569256
5,drummer1/eval_session/1,24,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.018137410910759988
6,drummer1/eval_session/1,32,kick,4,15,3,12,1,0.2,0.75,0.31578947368421056,0.009785802993734763
6,drummer1/eval_session/1,32,snare,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.0048630566517048595
6,drummer1/eval_session/1,32,tom,0,13,0,13,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.008909629645193522
6,drummer1/eval_session/1,32,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.023362431696869235
7,drummer1/eval_session/1,36,kick,4,14,3,11,1,0.21428571428571427,0.75,0.3333333333333333,0.006081655183616909
7,drummer1/eval_session/1,36,snare,8,12,5,7,3,0.4166666666666667,0.625,0.5,0.00396105204417857
7,drummer1/eval_session/1,36,tom,0,12,0,12,0,0.0,1.0,0.0,
7,drummer1/eval_session/1,36,hihat,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.012837680199982703
7,drummer1/eval_session/1,36,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.009336603531414233
8,drummer1/eval_session/1,40,kick,2,14,2,12,0,0.14285714285714285,1.0,0.25,0.00603630400771725
8,drummer1/eval_session/1,40,snare,4,9,4,5,0,0.4444444444444444,1.0,0.6153846153846153,0.0046258703076920565
8,drummer1/eval_session/1,40,tom,0,13,0,13,0,0.0,1.0,0.0,
8,drummer1/eval_session/1,40,hihat,8,7,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.022081619361225466
8,drummer1/eval_session/1,40,cymbal,8,7,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.017316752242618475
9,drummer1/eval_session/1,48,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.007061250645059131
9,drummer1/eval_session/1,48,snare,9,12,7,5,2,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.004525460809768505
9,drummer1/eval_session/1,48,tom,0,14,0,14,0,0.0,1.0,0.0,
9,drummer1/eval_session/1,48,hihat,7,11,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.011722046918261928
9,drummer1/eval_session/1,48,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.017968294642836107
10,drummer1/eval_session/1,52,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.002610001125142755
10,drummer1/eval_session/1,52,snare,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.009257739635912301
10,drummer1/eval_session/1,52,tom,0,13,0,13,0,0.0,1.0,0.0,
10,drummer1/eval_session/1,52,hihat,7,11,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.01203427419331919
10,drummer1/eval_session/1,52,cymbal,8,12,7,5,1,0.5833333333333334,0.875,0.7000000000000001,0.017937828107393954
11,drummer1/eval_session/1,56,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.005422532957839887
11,drummer1/eval_session/1,56,snare,4,10,4,6,0,0.4,1.0,0.5714285714285715,0.00617461432067172
11,drummer1/eval_session/1,56,tom,0,11,0,11,0,0.0,1.0,0.0,
11,drummer1/eval_session/1,56,hihat,6,8,6,2,0,0.75,1.0,0.8571428571428571,0.022051332692530522
11,drummer1/eval_session/1,56,cymbal,8,8,7,1,1,0.875,0.875,0.875,0.014073901660124918
12,drummer1/eval_session/10,0,kick,3,12,3,9,0,0.25,1.0,0.4,0.007538486303056234
12,drummer1/eval_session/10,0,snare,5,13,2,11,3,0.15384615384615385,0.4,0.2222222222222222,0.008906426543281165
12,drummer1/eval_session/10,0,tom,0,16,0,16,0,0.0,1.0,0.0,
12,drummer1/eval_session/10,0,hihat,8,6,6,0,2,1.0,0.75,0.8571428571428571,0.011341679289948281
12,drummer1/eval_session/10,0,cymbal,0,7,0,7,0,0.0,1.0,0.0,
13,drummer1/eval_session/10,4,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.011212446877531502
13,drummer1/eval_session/10,4,snare,2,11,2,9,0,0.18181818181818182,1.0,0.3076923076923077,0.01009982784048502
13,drummer1/eval_session/10,4,tom,0,14,0,14,0,0.0,1.0,0.0,
13,drummer1/eval_session/10,4,hihat,8,8,8,0,0,1.0,1.0,1.0,0.013242692821352948
13,drummer1/eval_session/10,4,cymbal,0,8,0,8,0,0.0,1.0,0.0,
14,drummer1/eval_session/10,8,kick,3,13,3,10,0,0.23076923076923078,1.0,0.375,0.005325885524611371
14,drummer1/eval_session/10,8,snare,6,12,3,9,3,0.25,0.5,0.3333333333333333,0.0042373605199771775
14,drummer1/eval_session/10,8,tom,0,14,0,14,0,0.0,1.0,0.0,
14,drummer1/eval_session/10,8,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.005053338073975422
14,drummer1/eval_session/10,8,cymbal,0,9,0,9,0,0.0,1.0,0.0,
15,drummer1/eval_session/10,12,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.008415756037491163
15,drummer1/eval_session/10,12,snare,4,11,3,8,1,0.2727272727272727,0.75,0.39999999999999997,0.005147431231950679
15,drummer1/eval_session/10,12,tom,0,15,0,15,0,0.0,1.0,0.0,
15,drummer1/eval_session/10,12,hihat,8,8,8,0,0,1.0,1.0,1.0,0.00874267555276976
15,drummer1/eval_session/10,12,cymbal,0,8,0,8,0,0.0,1.0,0.0,
16,drummer1/eval_session/10,16,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.004607856330994774
16,drummer1/eval_session/10,16,snare,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.007338415201829401
16,drummer1/eval_session/10,16,tom,0,18,0,18,0,0.0,1.0,0.0,
16,drummer1/eval_session/10,16,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.012143528529542098
16,drummer1/eval_session/10,16,cymbal,0,9,0,9,0,0.0,1.0,0.0,
17,drummer1/eval_session/10,20,kick,3,12,3,9,0,0.25,1.0,0.4,0.004545807368231175
17,drummer1/eval_session/10,20,snare,4,15,3,12,1,0.2,0.75,0.31578947368421056,0.016149728687442095
17,drummer1/eval_session/10,20,tom,0,13,0,13,0,0.0,1.0,0.0,
17,drummer1/eval_session/10,20,hihat,8,8,8,0,0,1.0,1.0,1.0,0.008955829774986173
17,drummer1/eval_session/10,20,cymbal,0,8,0,8,0,0.0,1.0,0.0,
18,drummer1/eval_session/10,24,kick,4,13,4,9,0,0.3076923076923077,1.0,0.47058823529411764,0.0177030030285302
18,drummer1/eval_session/10,24,snare,4,10,2,8,2,0.2,0.5,0.28571428571428575,0.008684894279017197
18,drummer1/eval_session/10,24,tom,0,13,0,13,0,0.0,1.0,0.0,
18,drummer1/eval_session/10,24,hihat,8,8,8,0,0,1.0,1.0,1.0,0.007602082250867845
18,drummer1/eval_session/10,24,cymbal,0,9,0,9,0,0.0,1.0,0.0,
19,drummer1/eval_session/10,28,kick,2,15,2,13,0,0.13333333333333333,1.0,0.23529411764705882,0.010013730850349511
19,drummer1/eval_session/10,28,snare,3,10,3,7,0,0.3,1.0,0.4615384615384615,0.008464141890395313
19,drummer1/eval_session/10,28,tom,0,17,0,17,0,0.0,1.0,0.0,
19,drummer1/eval_session/10,28,hihat,8,8,8,0,0,1.0,1.0,1.0,0.005748348381801136
19,drummer1/eval_session/10,28,cymbal,0,8,0,8,0,0.0,1.0,0.0,
20,drummer1/eval_session/10,32,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.0055374642565441876
