dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,15,3,12,0,0.2,1.0,0.33333333333333337,0.005729519924598037
0,drummer1/eval_session/1,0,snare,5,12,5,7,0,0.4166666666666667,1.0,0.5882352941176471,0.003147531470473941
0,drummer1/eval_session/1,0,tom,0,16,0,16,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,11,7,4,0,0.6363636363636364,1.0,0.7777777777777778,0.01636180827908818
0,drummer1/eval_session/1,0,cymbal,9,11,8,3,1,0.7272727272727273,0.8888888888888888,0.7999999999999999,0.01361632520028825
1,drummer1/eval_session/1,4,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.0026712404807095694
1,drummer1/eval_session/1,4,snare,7,14,5,9,2,0.35714285714285715,0.7142857142857143,0.4761904761904762,0.004095291262581268
1,drummer1/eval_session/1,4,tom,0,13,0,13,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.0070975154611258705
1,drummer1/eval_session/1,4,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.028778131365930527
2,drummer1/eval_session/1,8,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,14,5,9,0,0.35714285714285715,1.0,0.5263157894736842,0.004949429551642094
2,drummer1/eval_session/1,8,tom,0,13,0,13,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,10,8,2,0,0.8,1.0,0.888888888888889,0.010419121766610733
2,drummer1/eval_session/1,8,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.012063518597907014
3,drummer1/eval_session/1,16,kick,4,17,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0.004158773077799684
3,drummer1/eval_session/1,16,snare,9,13,7,6,2,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.007392926445121646
3,drummer1/eval_session/1,16,tom,0,14,0,14,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.003835577497305228
3,drummer1/eval_session/1,16,cymbal,8,13,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.02581862167571408
4,drummer1/eval_session/1,20,kick,4,18,4,14,0,0.2222222222222222,1.0,0.3636363636363636,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,11,6,5,1,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.006885857708690222
4,drummer1/eval_session/1,20,tom,0,13,0,13,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.015101996708889412
4,drummer1/eval_session/1,20,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.02185104664819388
