dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,15,3,12,0,0.2,1.0,0.33333333333333337,0.004653142778229677
0,drummer1/eval_session/1,0,snare,5,13,5,8,0,0.38461538461538464,1.0,0.5555555555555556,0.00203480381219564
0,drummer1/eval_session/1,0,tom,0,14,0,14,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,11,6,5,1,0.5454545454545454,0.8571428571428571,0.6666666666666665,0.0195858784584232
0,drummer1/eval_session/1,0,cymbal,9,10,7,3,2,0.7,0.7777777777777778,0.7368421052631577,0.017970906237679087
1,drummer1/eval_session/1,4,kick,4,16,4,12,0,0.25,1.0,0.4,0.0012313025734279287
1,drummer1/eval_session/1,4,snare,7,12,5,7,2,0.4166666666666667,0.7142857142857143,0.5263157894736842,0.0036036553453155594
1,drummer1/eval_session/1,4,tom,0,16,0,16,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,10,8,2,0,0.8,1.0,0.888888888888889,0.010019285567189309
1,drummer1/eval_session/1,4,cymbal,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.024631710892979473
2,drummer1/eval_session/1,8,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,11,5,6,0,0.45454545454545453,1.0,0.625,0.007271425016494683
2,drummer1/eval_session/1,8,tom,0,14,0,14,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.013901792270178764
2,drummer1/eval_session/1,8,cymbal,8,10,8,2,0,0.8,1.0,0.888888888888889,0.01452788861721856
3,drummer1/eval_session/1,16,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.003072568560885002
3,drummer1/eval_session/1,16,snare,9,15,7,8,2,0.4666666666666667,0.7777777777777778,0.5833333333333334,0.008123710778372014
3,drummer1/eval_session/1,16,tom,0,13,0,13,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,10,5,5,3,0.5,0.625,0.5555555555555556,0.005980020126788244
3,drummer1/eval_session/1,16,cymbal,8,9,5,4,3,0.5555555555555556,0.625,0.5882352941176471,0.02429481688621634
4,drummer1/eval_session/1,20,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,13,7,6,0,0.5384615384615384,1.0,0.7000000000000001,0.0127832682915865
4,drummer1/eval_session/1,20,tom,0,13,0,13,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.007463670898727275
4,drummer1/eval_session/1,20,cymbal,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.028254019504649546
5,drummer1/eval_session/1,24,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.0027232497246571625
5,drummer1/eval_session/1,24,snare,4,12,4,8,0,0.3333333333333333,1.0,0.5,0.006379762957561055
5,drummer1/eval_session/1,24,tom,0,13,0,13,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.009043423552868607
5,drummer1/eval_session/1,24,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.01738446432678373
6,drummer1/eval_session/1,32,kick,4,17,3,14,1,0.17647058823529413,0.75,0.2857142857142857,0.00785080677302429
6,drummer1/eval_session/1,32,snare,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.009464687090264485
6,drummer1/eval_session/1,32,tom,0,14,0,14,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,9,8,1,0,0.8888888888888888,1.0,0.9411764705882353,0.00910175442391514
6,drummer1/eval_session/1,32,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.024191715791459435
7,drummer1/eval_session/1,36,kick,4,12,3,9,1,0.25,0.75,0.375,0.008016651404327455
7,drummer1/eval_session/1,36,snare,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.007241156617980554
7,drummer1/eval_session/1,36,tom,0,13,0,13,0,0.0,1.0,0.0,
7,drummer1/eval_session/1,36,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.014729499356778327
7,drummer1/eval_session/1,36,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.013483024004365308
8,drummer1/eval_session/1,40,kick,2,13,2,11,0,0.15384615384615385,1.0,0.2666666666666667,0.00603630400771725
8,drummer1/eval_session/1,40,snare,4,11,3,8,1,0.2727272727272727,0.75,0.39999999999999997,0.0021451599230300857
8,drummer1/eval_session/1,40,tom,0,13,0,13,0,0.0,1.0,0.0,
8,drummer1/eval_session/1,40,hihat,8,6,5,1,3,0.8333333333333334,0.625,0.7142857142857143,0.017760515106778556
