epoch,train_loss,train_mse,train_tokens,val_loss,val_mse,val_tokens,best_val_loss,elapsed_sec,checkpoint_improved
0,0.6637178898608951,0.9675180019318004,1835541,0.6586259583676773,0.9587096702929259,274276,0.6586259583676773,394.0273633003235,True
1,0.6530852952786839,0.9440929859933476,1835541,0.6558782118576965,0.9521314182713815,274276,0.6558782118576965,443.3251929283142,True
2,0.6488983216378589,0.9347217426505725,1835541,0.652467214497165,0.9448016646180645,274276,0.652467214497165,433.3305904865265,True
3,0.6459929236808996,0.9282403298506628,1835541,0.6497140603101722,0.938949147565818,274276,0.6497140603101722,453.9893157482147,True
4,0.6437167485593298,0.9232879336904861,1835541,0.6498884782691658,0.9397719637176447,274276,0.6497140603101722,459.50814485549927,False
5,0.641888983269264,0.919353551808579,1835541,0.6487209223190492,0.9362904520147899,274276,0.6487209223190492,442.0586278438568,True
6,0.6403199678033917,0.9160367336607691,1835541,0.6481934105434262,0.9358953753001307,274276,0.6481934105434262,462.7069215774536,True
7,0.6387322521948188,0.9126833477657627,1835541,0.6473142802970648,0.9338005382982881,274276,0.6473142802970648,418.89119601249695,True
8,0.637355894495718,0.9098404050056822,1835541,0.6499299470576847,0.9399637807017784,274276,0.6473142802970648,455.4987542629242,False
9,0.6361493675395649,0.9073522412852237,1835541,0.6469892969397065,0.9336640374838848,274276,0.6469892969397065,468.0778477191925,True
10,0.6347385825143008,0.9044315814015284,1835541,0.6470653531357741,0.9338886549058204,274276,0.6469892969397065,439.6994445323944,False
11,0.6331770105250768,0.9013116990578075,1835541,0.6462740743027163,0.9320975156866652,274276,0.6462740743027163,458.73037815093994,True
12,0.6320043755660849,0.8989635622104799,1835541,0.6457335274072676,0.9308835674936704,274276,0.6457335274072676,451.41221952438354,True
13,0.6306054763700487,0.8962084490142984,1835541,0.6457569918673937,0.9304575766036418,274276,0.6457335274072676,427.7807185649872,False
14,0.6293135702281654,0.8936594127928079,1835541,0.6455653778017006,0.9305971734874765,274276,0.6455653778017006,457.5407874584198,True
15,0.6280978443738398,0.891327659341323,1835541,0.6474637868468706,0.9357724256941634,274276,0.6455653778017006,425.38284158706665,False
16,0.6267169502965768,0.8886899641168411,1835541,0.6469848791558144,0.934962650350199,274276,0.6455653778017006,441.956175327301,False
17,0.6253205614842761,0.8860638750022307,1835541,0.6458757173055768,0.9324175313504768,274276,0.6455653778017006,455.7844252586365,False
18,0.6240473856979659,0.8836555125198475,1835541,0.6467824522556626,0.934975300694352,274276,0.6455653778017006,458.85883617401123,False
19,0.6225623046246096,0.8808585449559121,1835541,0.6473763972113578,0.9367807993434194,274276,0.6455653778017006,446.69095611572266,False
20,0.6211049311350808,0.8781234317156434,1835541,0.6483684502272873,0.9392820357477513,274276,0.6455653778017006,440.1605181694031,False
21,0.6196497207576042,0.8754373651666765,1835541,0.647037823662714,0.9363005919091234,274276,0.6455653778017006,439.402161359787,False
22,0.6180485723902471,0.8724663163465908,1835541,0.6486414660506512,0.94083455689905,274276,0.6455653778017006,401.3076813220978,False
23,0.6164739572723462,0.8694507827515913,1835541,0.6511619247519055,0.9474358458728406,274276,0.6455653778017006,395.94077801704407,False
24,0.6148020049889861,0.86628367157629,1835541,0.6515346296535494,0.948433432844914,274276,0.6455653778017006,397.40902280807495,False
25,0.6131461099267442,0.8631305858515006,1835541,0.6515215634010997,0.9486238848332211,274276,0.6455653778017006,394.6910021305084,False
26,0.6113696278501423,0.859753409232609,1835541,0.6530254315021233,0.953229981890807,274276,0.6455653778017006,398.93379282951355,False
27,0.6095800897846245,0.8563475655301006,1835541,0.6524675638552793,0.9520313193673795,274276,0.6455653778017006,396.8714129924774,False
28,0.6077153776609207,0.8527819060070722,1835541,0.6542826731107124,0.9571248837443728,274276,0.6455653778017006,397.3600277900696,False
29,0.6057768160120471,0.8490782589186189,1835541,0.656019001926441,0.9618410631740674,274276,0.6455653778017006,397.4395639896393,False
30,0.6038697801155145,0.8453762585676212,1835541,0.6567729411952298,0.9639107200286077,274276,0.6455653778017006,505.09600830078125,False
31,0.6019269536847366,0.8416247602335497,1835541,0.657144785482068,0.9650142723587823,274276,0.6455653778017006,517.7829480171204,False
32,0.5999413018707987,0.8377261103651759,1835541,0.6573541322595765,0.9661098109692499,274276,0.6455653778017006,567.7831671237946,False
