epoch,train_loss,train_diffusion_loss,train_audio_wave_l1,train_audio_mrstft,train_x0,train_x0_loss,train_timbre_proj_mse,train_quant_embed_mse,train_rvq_ce,train_onset_weighted_x0,train_steps,train_batches_per_epoch,train_valid_tokens_seen,train_audio_seconds_seen,train_elapsed_sec,train_steps_per_sec,train_tokens_per_sec,train_audio_seconds_per_sec,train_peak_gpu_mem_allocated_mb,train_peak_gpu_mem_reserved_mb,val_loss,val_diffusion_loss,val_audio_wave_l1,val_audio_mrstft,val_x0,val_x0_loss,val_timbre_proj_mse,val_quant_embed_mse,val_rvq_ce,val_onset_weighted_x0,val_steps,val_valid_tokens_seen,val_audio_seconds_seen,val_elapsed_sec,val_steps_per_sec,val_tokens_per_sec,val_audio_seconds_per_sec,val_peak_gpu_mem_allocated_mb,val_peak_gpu_mem_reserved_mb,best_val_loss,checkpoint_metric_name,checkpoint_metric_value,best_checkpoint_metric_value,best_checkpoint_epoch,global_step,checkpoint_improved
0,0.4160932600026235,0.4160932600026235,0.0,0.0,0.8898467850049971,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51006603241,383.7531244419515,7.507430732165401,4783.1297860290215,55.537033338880995,6116.8017578125,9244.0,0.4151980295428075,0.4151980295428075,0.0,0.0,0.8022536994346107,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.671835647895932,15.56430601598744,11116.967700106694,129.0864628925364,2377.5263671875,8686.0,0.4151980295428075,val_loss,0.4151980295428075,0.4151980295428075,0,2881,True
1,0.39002576466253447,0.39002576466253447,0.0,0.0,0.7615010808042585,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51001739502,377.8713418804109,7.624288165551813,4857.581924222541,56.401498751763036,6116.8017578125,8686.0,0.37872947956141917,0.37872947956141917,0.0,0.0,0.7621153080447888,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.670630084350705,16.222635334657728,11587.186273564019,134.54648167386267,2377.5263671875,8686.0,0.37872947956141917,val_loss,0.37872947956141917,0.37872947956141917,1,5762,True
2,0.3745186491935659,0.3745186491935659,0.0,0.0,0.7536288761882598,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51002550125,380.1935212481767,7.5777198689279786,4827.912358879531,56.057004747298706,6116.8017578125,8686.0,0.3729006590771557,0.3729006590771557,0.0,0.0,0.6874313565300932,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.586045619100332,16.280813079112807,11628.74033355923,135.02899334146016,2377.5263671875,8686.0,0.3729006590771557,val_loss,0.3729006590771557,0.3729006590771557,2,8643,True
3,0.3588901920868724,0.3588901920868724,0.0,0.0,0.7613963176745563,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510028362274,378.21646429412067,7.617331004817351,4853.14938212893,56.35003242954692,6116.8017578125,8686.0,0.3646271961382202,0.3646271961382202,0.0,0.0,0.527407751622377,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.935680313035846,16.042995017395263,11458.876305705999,133.05658979403938,2377.5263671875,8686.0,0.3646271961382202,val_loss,0.3646271961382202,0.3646271961382202,3,11524,True
4,0.35799683603886107,0.35799683603886107,0.0,0.0,0.6183410086092003,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51003217697,382.7404724024236,7.527293839390048,4795.784957045417,55.68397274111222,6116.8017578125,8688.0,0.347542142146267,0.347542142146267,0.0,0.0,0.6752236013514145,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.007610462605953,15.994927966617714,11424.543913989688,132.657933692047,2377.5263671875,8688.0,0.347542142146267,val_loss,0.347542142146267,0.347542142146267,4,14405,True
5,0.34273601969715667,0.34273601969715667,0.0,0.0,0.6530030331212648,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510053157806,385.50215551257133,7.473369367207209,4761.428629522002,55.285060662813336,6116.8017578125,8688.0,0.34886707526554045,0.34886707526554045,0.0,0.0,0.6905737568546707,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.656085163354874,15.574248606616605,11124.06929903223,129.16892425348556,2377.5263671875,8688.0,0.347542142146267,val_loss,0.34886707526554045,0.347542142146267,4,17286,False
6,0.3432456192953906,0.3432456192953906,0.0,0.0,0.6340934402777767,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51007270813,385.6840773560107,7.469844282269023,4759.182729510713,55.25898351524463,6116.8017578125,8688.0,0.3310749045316091,0.3310749045316091,0.0,0.0,0.6315089445658183,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,25.015099178999662,15.350728664005077,10964.41785168921,127.31510573128308,2377.5263671875,8688.0,0.3310749045316091,val_loss,0.3310749045316091,0.3310749045316091,6,20167,True
7,0.33719392699459894,0.33719392699459894,0.0,0.0,0.6033683946328376,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51005268097,386.40306261368096,7.455945044825832,4750.327255648959,55.15616234643783,6116.8017578125,8688.0,0.3241374929396746,0.3241374929396746,0.0,0.0,0.7348567061902335,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.99404864013195,15.363657386159778,10973.652326162393,127.42233332054768,2377.5263671875,8688.0,0.3241374929396746,val_loss,0.3241374929396746,0.3241374929396746,7,23048,True
8,0.3311242444245512,0.3311242444245512,0.0,0.0,0.6178107116447683,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51005601883,382.2104616779834,7.537731927461668,4802.435265485914,55.7611896923294,6116.8017578125,8688.0,0.32938258625896805,0.32938258625896805,0.0,0.0,0.5129709894439051,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.2004883158952,15.867448416228186,11333.490317211985,131.60065017204863,2377.5263671875,8688.0,0.3241374929396746,val_loss,0.32938258625896805,0.3241374929396746,7,25929,False
9,0.33574247232499943,0.33574247232499943,0.0,0.0,0.5712044318424812,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.5100274086,384.5727217681706,7.4914309750152634,4772.93603030562,55.41867329908094,6116.8017578125,8688.0,0.3219922604669894,0.3219922604669894,0.0,0.0,0.5519139889802318,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.126737719401717,15.915952022440365,11368.13452319493,132.0029269556734,2377.5263671875,8688.0,0.3219922604669894,val_loss,0.3219922604669894,0.3219922604669894,9,28810,True
10,0.3248553766381042,0.3248553766381042,0.0,0.0,0.5646855927633975,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510021686554,400.0750256367028,7.201149322967631,4587.9919574555115,53.27128327435231,6116.8017578125,8688.0,0.3237811951063729,0.3237811951063729,0.0,0.0,0.560631017734219,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,23.814436204731464,16.124673147781962,11517.215761148555,133.73400778726466,2377.5263671875,8688.0,0.3219922604669894,val_loss,0.3237811951063729,0.3219922604669894,9,31691,False
11,0.3276499040915861,0.3276499040915861,0.0,0.0,0.5551208902586152,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510010242462,487.9533476848155,5.904252965307923,3761.7141243298406,43.677351761932954,6116.8017578125,8688.0,0.3326812813878253,0.3326812813878253,0.0,0.0,0.48098992035374977,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,50.15522216632962,7.656231662707861,5468.543217502242,63.49887128983561,2377.5263671875,8688.0,0.3219922604669894,val_loss,0.3326812813878253,0.3219922604669894,9,34572,False
