epoch,train_loss,train_mse,train_tokens,val_loss,val_mse,val_tokens,best_val_loss,elapsed_sec,checkpoint_improved
0,0.6818029150437809,1.0055679891723652,1835541,0.6835341611745471,1.0113721325163172,274276,0.6835341611745471,443.9088661670685,True
1,0.6787747739719413,0.998331539470473,1835541,0.6828008478089853,1.0097616838057428,274276,0.6828008478089853,474.8416666984558,True
2,0.6774906261237604,0.9952667799293581,1835541,0.6817024064771346,1.0074476588870946,274276,0.6817024064771346,481.73542952537537,True
3,0.6769015114517635,0.9939419234148404,1835541,0.6817174537544182,1.007129197517034,274276,0.6817024064771346,466.91776943206787,False
4,0.6765634239907233,0.9931988018979092,1835541,0.6817188405907498,1.0075880654805875,274276,0.6817024064771346,469.4039077758789,False
5,0.6762768560256187,0.9925880081245125,1835541,0.6813513779678794,1.0068361525503404,274276,0.6813513779678794,487.78810262680054,True
6,0.6760723302153877,0.9921676407723647,1835541,0.6818890431010153,1.0082669011074683,274276,0.6813513779678794,479.67738223075867,False
7,0.6759178202700068,0.991839901525106,1835541,0.6814794122330008,1.0072801427902627,274276,0.6813513779678794,471.86134123802185,False
8,0.6757761001760122,0.9915380291324983,1835541,0.6816351140160359,1.0074382630785477,274276,0.6813513779678794,473.7103292942047,False
9,0.6756748642836076,0.9913337058021754,1835541,0.6814038374357777,1.0066889017919454,274276,0.6813513779678794,479.7799925804138,False
10,0.6755726019462255,0.9911360829523651,1835541,0.6816137115744191,1.0075953427881637,274276,0.6813513779678794,463.39692902565,False
11,0.6754554372946476,0.9909053113892684,1835541,0.6816011751781107,1.0073452124398719,274276,0.6813513779678794,458.02824664115906,False
12,0.6753965041548616,0.990796738445333,1835541,0.6814880046234136,1.0068173682342048,274276,0.6813513779678794,436.4189074039459,False
13,0.6752968146953459,0.9905975305855703,1835541,0.6813863050505802,1.0068714003482155,274276,0.6813513779678794,396.64570927619934,False
14,0.6752198950246425,0.9904546564584565,1835541,0.6814540994338747,1.0069485719519076,274276,0.6813513779678794,396.80632734298706,False
15,0.6751510506260993,0.9903141175189561,1835541,0.6813879019841792,1.0070236759240276,274276,0.6813513779678794,447.9343981742859,False
16,0.6750663223862582,0.990167075603996,1835541,0.6816789596954722,1.0074784347856254,274276,0.6813513779678794,468.8217625617981,False
17,0.6750097698400879,0.9900618491459738,1835541,0.6827543521783134,1.010677345717829,274276,0.6813513779678794,461.2430491447449,False
18,0.6749563708871426,0.9899851156426074,1835541,0.6813207369221519,1.0067072825747523,274276,0.6813207369221519,455.71077847480774,True
19,0.674891002097468,0.9898683913766457,1835541,0.6819316921021822,1.0085330853571277,274276,0.6813207369221519,501.6005914211273,False
20,0.6748218778798291,0.989738139073349,1835541,0.6823672077990598,1.0096251214410619,274276,0.6813207369221519,520.4387419223785,False
21,0.674782068282276,0.989695592663132,1835541,0.6819166385572794,1.0085837750171818,274276,0.6813207369221519,428.5067811012268,False
22,0.6747124323524777,0.9895631055038058,1835541,0.6817688652255557,1.0078085561877335,274276,0.6813207369221519,435.49241399765015,False
23,0.6746632210924498,0.9894682821062385,1835541,0.6821211582755272,1.0091835484426952,274276,0.6813207369221519,453.70599722862244,False
24,0.6746128522841197,0.9893912295100799,1835541,0.6824200971831375,1.0101192207431715,274276,0.6813207369221519,454.05609154701233,False
25,0.6745522247136737,0.9892800888423491,1835541,0.6822137393223702,1.0093475252202582,274276,0.6813207369221519,452.246306180954,False
26,0.674519410812965,0.9892407927612912,1835541,0.6819821762618606,1.0084448584189805,274276,0.6813207369221519,467.811550617218,False
27,0.6744836619885372,0.9891831830616915,1835541,0.6827099488887283,1.0105295877660143,274276,0.6813207369221519,449.43570137023926,False
28,0.6743965063908498,0.9890359715292749,1835541,0.682655364176969,1.0103138058673131,274276,0.6813207369221519,418.0984101295471,False
