dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.005729519924598037
0,drummer1/eval_session/1,0,snare,5,15,5,10,0,0.3333333333333333,1.0,0.5,0.004192338197409695
0,drummer1/eval_session/1,0,tom,0,15,0,15,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,13,7,6,0,0.5384615384615384,1.0,0.7000000000000001,0.01636180827908815
0,drummer1/eval_session/1,0,cymbal,9,13,9,4,0,0.6923076923076923,1.0,0.8181818181818181,0.01821160166770497
1,drummer1/eval_session/1,4,kick,4,16,4,12,0,0.25,1.0,0.4,0.0012313025734279287
1,drummer1/eval_session/1,4,snare,7,15,6,9,1,0.4,0.8571428571428571,0.5454545454545455,0.010081642626905132
1,drummer1/eval_session/1,4,tom,0,15,0,15,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.005932610841063133
1,drummer1/eval_session/1,4,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.022973142703799
2,drummer1/eval_session/1,8,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.005802559127815718
2,drummer1/eval_session/1,8,snare,5,9,4,5,1,0.4444444444444444,0.8,0.5714285714285714,0.004133982976683145
2,drummer1/eval_session/1,8,tom,0,13,0,13,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.011683833556033113
2,drummer1/eval_session/1,8,cymbal,8,10,8,2,0,0.8,1.0,0.888888888888889,0.01714288367727212
3,drummer1/eval_session/1,16,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.004158773077799684
3,drummer1/eval_session/1,16,snare,9,12,6,6,3,0.5,0.6666666666666666,0.5714285714285715,0.0034965798441244805
3,drummer1/eval_session/1,16,tom,0,13,0,13,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,13,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.004495601975535506
3,drummer1/eval_session/1,16,cymbal,8,13,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.0218095322733834
4,drummer1/eval_session/1,20,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,14,6,8,1,0.42857142857142855,0.8571428571428571,0.5714285714285714,0.00869688814774843
4,drummer1/eval_session/1,20,tom,0,13,0,13,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,10,6,4,2,0.6,0.75,0.6666666666666665,0.010662088286038684
4,drummer1/eval_session/1,20,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.022754171344336684
5,drummer1/eval_session/1,24,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.0027232497246571625
5,drummer1/eval_session/1,24,snare,4,11,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.004928515792028174
5,drummer1/eval_session/1,24,tom,0,12,0,12,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,8,7,1,1,0.875,0.875,0.875,0.013052248976977484
5,drummer1/eval_session/1,24,cymbal,8,8,7,1,1,0.875,0.875,0.875,0.022360168894325072
6,drummer1/eval_session/1,32,kick,4,13,3,10,1,0.23076923076923078,0.75,0.3529411764705882,0.004242294860534947
6,drummer1/eval_session/1,32,snare,8,9,6,3,2,0.6666666666666666,0.75,0.7058823529411765,0.007988253121608502
6,drummer1/eval_session/1,32,tom,0,10,0,10,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.00996448659842787
6,drummer1/eval_session/1,32,cymbal,8,10,6,4,2,0.6,0.75,0.6666666666666665,0.0236136927410048
7,drummer1/eval_session/1,36,kick,4,13,3,10,1,0.23076923076923078,0.75,0.3529411764705882,0.006081655183616909
7,drummer1/eval_session/1,36,snare,8,12,6,6,2,0.5,0.75,0.6,0.007241156617980572
7,drummer1/eval_session/1,36,tom,0,13,0,13,0,0.0,1.0,0.0,
7,drummer1/eval_session/1,36,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.015895672281042484
7,drummer1/eval_session/1,36,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.012653739909775098
8,drummer1/eval_session/1,40,kick,2,17,2,15,0,0.11764705882352941,1.0,0.21052631578947367,0.00603630400771725
8,drummer1/eval_session/1,40,snare,4,11,4,7,0,0.36363636363636365,1.0,0.5333333333333333,0.003174623142159147
8,drummer1/eval_session/1,40,tom,0,12,0,12,0,0.0,1.0,0.0,
8,drummer1/eval_session/1,40,hihat,8,7,6,1,2,0.8571428571428571,0.75,0.7999999999999999,0.014891886154044682
8,drummer1/eval_session/1,40,cymbal,8,9,7,2,1,0.7777777777777778,0.875,0.823529411764706,0.01794429240332557
9,drummer1/eval_session/1,48,kick,4,17,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0.005610003479526256
9,drummer1/eval_session/1,48,snare,9,13,7,6,2,0.5384615384615384,0.7777777777777778,0.6363636363636364,0.008548738784800893
9,drummer1/eval_session/1,48,tom,0,15,0,15,0,0.0,1.0,0.0,
9,drummer1/eval_session/1,48,hihat,7,10,6,4,1,0.6,0.8571428571428571,0.7058823529411764,0.010681770175177324
9,drummer1/eval_session/1,48,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.018048766806168383
10,drummer1/eval_session/1,52,kick,4,17,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0.005512495456208544
10,drummer1/eval_session/1,52,snare,8,13,6,7,2,0.46153846153846156,0.75,0.5714285714285714,0.01119273585662279
10,drummer1/eval_session/1,52,tom,0,15,0,15,0,0.0,1.0,0.0,
