dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
99,drummer1/eval_session/6,64,kick,3,11,3,8,0,0.2727272727272727,1.0,0.42857142857142855,0.0030945043481790412
99,drummer1/eval_session/6,64,snare,1,8,1,7,0,0.125,1.0,0.2222222222222222,0.005401382478727013
99,drummer1/eval_session/6,64,tom,0,10,0,10,0,0.0,1.0,0.0,
99,drummer1/eval_session/6,64,hihat,8,7,7,0,1,1.0,0.875,0.9333333333333333,0.005276976840125291
99,drummer1/eval_session/6,64,cymbal,0,8,0,8,0,0.0,1.0,0.0,
100,drummer1/eval_session/6,72,kick,3,10,3,7,0,0.3,1.0,0.4615384615384615,0.005729957218151655
100,drummer1/eval_session/6,72,snare,1,11,1,10,0,0.09090909090909091,1.0,0.16666666666666669,0.006188852143666046
100,drummer1/eval_session/6,72,tom,0,11,0,11,0,0.0,1.0,0.0,
100,drummer1/eval_session/6,72,hihat,8,8,8,0,0,1.0,1.0,1.0,0.0059426695717257555
100,drummer1/eval_session/6,72,cymbal,0,8,0,8,0,0.0,1.0,0.0,
101,drummer1/eval_session/6,80,kick,2,10,2,8,0,0.2,1.0,0.33333333333333337,0.009771801415923768
101,drummer1/eval_session/6,80,snare,1,7,1,6,0,0.14285714285714285,1.0,0.25,0.006576276533728054
101,drummer1/eval_session/6,80,tom,0,9,0,9,0,0.0,1.0,0.0,
101,drummer1/eval_session/6,80,hihat,4,5,4,1,0,0.8,1.0,0.888888888888889,0.005085457921568809
101,drummer1/eval_session/6,80,cymbal,0,5,0,5,0,0.0,1.0,0.0,
102,drummer1/eval_session/6,88,kick,3,9,3,6,0,0.3333333333333333,1.0,0.5,0.009761191044489881
102,drummer1/eval_session/6,88,snare,1,10,1,9,0,0.1,1.0,0.18181818181818182,0.007596410029058864
102,drummer1/eval_session/6,88,tom,0,10,0,10,0,0.0,1.0,0.0,
102,drummer1/eval_session/6,88,hihat,8,8,8,0,0,1.0,1.0,1.0,0.005049900001626609
102,drummer1/eval_session/6,88,cymbal,0,8,0,8,0,0.0,1.0,0.0,
103,drummer1/eval_session/6,96,kick,3,10,3,7,0,0.3,1.0,0.4615384615384615,0.007340338116881989
103,drummer1/eval_session/6,96,snare,1,10,1,9,0,0.1,1.0,0.18181818181818182,0.005413318707559123
103,drummer1/eval_session/6,96,tom,0,11,0,11,0,0.0,1.0,0.0,
103,drummer1/eval_session/6,96,hihat,8,6,6,0,2,1.0,0.75,0.8571428571428571,0.009413860039482849
103,drummer1/eval_session/6,96,cymbal,0,7,0,7,0,0.0,1.0,0.0,
104,drummer1/eval_session/6,104,kick,2,10,2,8,0,0.2,1.0,0.33333333333333337,0.007413534820755574
104,drummer1/eval_session/6,104,snare,1,11,1,10,0,0.09090909090909091,1.0,0.16666666666666669,0.012625194304113796
104,drummer1/eval_session/6,104,tom,0,11,0,11,0,0.0,1.0,0.0,
