suite,family,variant,display_name,num_examples,mrstft_logmag_l1,audio_l1,proxy_macro_f1,proxy_macro_precision,proxy_macro_recall,num_parameters,rtf_end_to_end,checkpoint_epoch,best_val_loss,requested_training_epochs,mrstft_logmag_l1_delta,mrstft_logmag_l1_ratio,audio_l1_delta,audio_l1_ratio,proxy_macro_f1_delta,proxy_macro_f1_ratio
training,direct,no_conditioning_zero,No conditioning,1733,0.3084097550015744,0.06934967036780874,0.34817516707666823,0.2699916543278513,0.6350943318859696,76498504,0.023663989052726975,18,0.6813207369221519,75,0.17257385621835097,2.27045838224074,0.024254771868445178,1.5378606599765934,-0.08783704720851099,0.7985445262066442
training,direct,naive_r0_linear,"Linear, radius 0",1733,0.147972792644963,0.04827405328218021,0.43793207213554386,0.34112606652072397,0.7500144248261102,75726878,0.01818436750156592,18,0.6572559258971441,75,0.01213689386173955,1.0893496783284695,0.0031791547828166414,1.070499211409945,0.0019198578503646369,1.0044032203398525
training,direct,naive_r22_linear,"Linear, radius 22",1733,0.13826913546300043,0.04586339546813572,0.4420654697075189,0.3305069746100848,0.8346151090903513,75851750,0.01776448374695363,15,0.6469493979167725,75,0.00243323667977699,1.0179130605500695,0.0007684969687721532,1.0170417717823004,0.006053255422339698,1.013883224423572
training,direct,our_hybrid_multiscale,Hybrid multiscale,1733,0.13583589878322344,0.045094898499363566,0.4360122142851792,0.3258068964834406,0.8220635907365785,76498504,0.022363881264000598,14,0.6455653778017006,75,0.0,1.0,0.0,1.0,0.0,1.0
training,dac25,no_conditioning_zero_25steps,No conditioning,1733,0.27203314411316865,0.06938013657110657,0.24194740253315566,0.14992506088352647,0.7989466551889165,91853384,0.05213884119657171,72,0.7079350616162022,75,0.16532026999992783,2.5492064230647036,0.016281477110089586,1.3066268955818523,-0.12648851559379065,0.6566878814724887
training,dac25,our_hybrid_multiscale_25steps,Hybrid multiscale,1733,0.10671287411324082,0.05309865946101699,0.3684359181269463,0.2540966573780022,0.9044789405477462,91853384,0.05205941234966331,72,0.664177268743515,75,0.0,1.0,0.0,1.0,0.0,1.0
