suite,family,model,display_name,condition,condition_label,num_examples,mrstft_logmag_l1,audio_l1,proxy_macro_f1,proxy_macro_precision,proxy_macro_recall,mrstft_logmag_l1_delta,mrstft_logmag_l1_ratio,audio_l1_delta,audio_l1_ratio,proxy_macro_f1_delta,proxy_macro_f1_ratio
inference,direct,direct_pca_d1024_l6_seed1234,Direct,none,Intact,1733,0.13587480814417044,0.04509302031354139,0.4362233602067883,0.3260834375115381,0.8218746892908537,0.0,1.0,0.0,1.0,0.0,1.0
inference,direct,direct_pca_d1024_l6_seed1234,Direct,zero,Zeroed,1733,0.465193407428416,0.09742845337573532,0.197157396495648,0.1347608150893296,0.4820174941353829,0.32931859928424556,3.423691365472405,0.052335433062193924,2.1606105046478254,-0.2390659637111403,0.4519643248866523
inference,direct,direct_pca_d1024_l6_seed1234,Direct,shuffle,Shuffled,1733,0.18746875005516783,0.05088587874461737,0.3457171721243662,0.2597335752837157,0.6480109933832947,0.05159394191099739,1.3797167599769742,0.005792858431075978,1.1284646357861372,-0.09050618808242211,0.7925232888960408
inference,direct,direct_pca_d1024_l6_seed1234,Direct,phase_shift,Half-window shift,1733,0.1825517322663895,0.051680004877128045,0.36116050148802464,0.27088578442735195,0.6841092722057761,0.04667692412221905,1.3435289054663637,0.006586984563586654,1.1460754794818786,-0.07506285871876367,0.8279256326777624
inference,dac_ce,dac_6steps,"RVQ-CE, 6 steps",none,Intact,1733,0.10597818449947852,0.050988804320581754,0.37250968889170055,0.2574145199867037,0.9077401289935452,0.0,1.0,0.0,1.0,0.0,1.0
inference,dac_ce,dac_6steps,"RVQ-CE, 6 steps",zero,Zeroed,1733,0.21020905625782327,0.5859464769543455,0.14738943355524764,0.1727440125772824,0.1637577604992861,0.10423087175834475,1.9835125243050151,0.5349576726337638,11.491669294112606,-0.2251202553364529,0.39566604024116553
inference,dac_ce,dac_6steps,"RVQ-CE, 6 steps",shuffle,Shuffled,1733,0.1762410521451373,0.06440516980767973,0.32145638761451445,0.22188018145639696,0.7854913651171774,0.07026286764565878,1.6629936904231881,0.013416365487097973,1.2631237516915537,-0.0510533012771861,0.8629477224362108
inference,dac_ce,dac_6steps,"RVQ-CE, 6 steps",phase_shift,Half-window shift,1733,0.17965844810327147,0.06472067725164864,0.33157786214665297,0.23020849091888004,0.7983089425072529,0.07368026360379296,1.6952399114192744,0.013731872931066882,1.2693115305220832,-0.040931826745047584,0.8901187594158184
inference,dac_ce,dac_12steps,"RVQ-CE, 12 steps",none,Intact,1733,0.10565151107931199,0.051244913227426234,0.36974050992716423,0.25517664624392644,0.9067773748412458,0.0,1.0,0.0,1.0,0.0,1.0
inference,dac_ce,dac_12steps,"RVQ-CE, 12 steps",zero,Zeroed,1733,0.2982143993821023,0.14606100181950632,0.21884089079450394,0.13714082230237312,0.6841091215506145,0.19256288830279034,2.8226231346396404,0.09481608859208009,2.8502536665694773,-0.15089961913266028,0.5918769648411362
inference,dac_ce,dac_12steps,"RVQ-CE, 12 steps",shuffle,Shuffled,1733,0.17824857289254217,0.06444589398904509,0.3203144093253746,0.22068143733643608,0.7894650846654618,0.07259706181323018,1.6871369947442776,0.013200980761618852,1.2576056808415805,-0.049426100601789646,0.8663221927953576
inference,dac_ce,dac_12steps,"RVQ-CE, 12 steps",phase_shift,Half-window shift,1733,0.18156315398440667,0.06526255580680998,0.3299463862416037,0.2282531083520845,0.807413902939599,0.07591164290509468,1.718509769804506,0.014017642579383746,1.2735421273360945,-0.03979412368556051,0.892372832791842
inference,dac_ce,dac_25steps,"RVQ-CE, 25 steps",none,Intact,1733,0.10394162063600267,0.051157747862341424,0.36847051668786596,0.2546116591257649,0.9057166001292636,0.0,1.0,0.0,1.0,0.0,1.0
inference,dac_ce,dac_25steps,"RVQ-CE, 25 steps",zero,Zeroed,1733,0.21043111675295847,0.5917691787488789,0.14737916021047298,0.1727221535637236,0.1637577604992861,0.10648949611695581,2.0245125625842957,0.5406114308865375,11.56753773331167,-0.22109135647739298,0.399975448606432
inference,dac_ce,dac_25steps,"RVQ-CE, 25 steps",shuffle,Shuffled,1733,0.17437304006497156,0.06390151189101685,0.3194426786558965,0.2204444877323656,0.7862766922357789,0.0704314194289689,1.6776055539447043,0.012743764028675428,1.2491072136906256,-0.04902783803196947,0.8669423038980856
inference,dac_ce,dac_25steps,"RVQ-CE, 25 steps",phase_shift,Half-window shift,1733,0.17818292332797023,0.06447000181613048,0.3289788264263076,0.22808759375172025,0.804063477045918,0.07424130269196756,1.7142596222542668,0.013312253953789058,1.260219702978531,-0.039491690261558354,0.8928226588750056
