suite,reference_id,comparison_id,comparison_label,metric,num_pairs,reference_mean,comparison_mean,delta_comparison_minus_reference,delta_ci_low,delta_ci_high,p_value,p_value_holm
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:zero,Zeroed,mrstft_logmag_l1,1733,0.13587480814417038,0.465193407428416,0.3293185992842455,0.323716555781871,0.3351507996897919,0.0004997501249375312,0.0014992503748125937
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:zero,Zeroed,audio_l1,1733,0.04509302031354134,0.09742845337573527,0.05233543306219392,0.05122032977087908,0.05349283258523899,0.0004997501249375312,0.0014992503748125937
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:zero,Zeroed,proxy_macro_f1,1733,0.4362233602067883,0.197157396495648,-0.23907699197372892,-0.24278962049063205,-0.2354310760237975,,
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:shuffle,Shuffled,mrstft_logmag_l1,1733,0.13587480814417038,0.18746875005516783,0.0515939419109974,0.04953591902103475,0.053677091636601997,0.0004997501249375312,0.0014992503748125937
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:shuffle,Shuffled,audio_l1,1733,0.04509302031354134,0.05088587874461732,0.005792858431075983,0.0053225493827991684,0.006246536660055963,0.0004997501249375312,0.0014992503748125937
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:shuffle,Shuffled,proxy_macro_f1,1733,0.4362233602067883,0.3457171721243662,-0.0905199409784121,-0.09523649644708397,-0.0859794332345112,,
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:phase_shift,Half-window shift,mrstft_logmag_l1,1733,0.13587480814417038,0.1825517322663895,0.04667692412221906,0.044967988443244365,0.04841432901076753,0.0004997501249375312,0.0014992503748125937
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:phase_shift,Half-window shift,audio_l1,1733,0.04509302031354134,0.051680004877128,0.006586984563586656,0.006118617476347298,0.007032156857864506,0.0004997501249375312,0.0014992503748125937
inference,direct:direct_pca_d1024_l6_seed1234:none,direct:direct_pca_d1024_l6_seed1234:phase_shift,Half-window shift,proxy_macro_f1,1733,0.4362233602067883,0.3611605014880247,-0.07506405859665043,-0.07822755541454639,-0.07174797442207605,,
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:zero,Zeroed,mrstft_logmag_l1,1733,0.10597818449947849,0.21020905625782327,0.10423087175834475,0.10244257267348497,0.10612088167597634,0.0004997501249375312,0.0014992503748125937
inference,dac_ce:dac_6steps:none,dac_ce:dac_6steps:zero,Zeroed,audio_l1,1733,0.050988804320581706,0.5859464769543455,0.5349576726337638,0.5249555205708516,0.5444482423932481,0.0004997501249375312,0.0014992503748125937
