dataset_index,source_id,beat_index,group,target_count,pred_count,tp,fp,fn,precision,recall,f1,mean_abs_error_sec
0,drummer1/eval_session/1,0,kick,3,16,3,13,0,0.1875,1.0,0.3157894736842105,0.003794523703887528
0,drummer1/eval_session/1,0,snare,5,16,5,11,0,0.3125,1.0,0.47619047619047616,0.0039573493230910415
0,drummer1/eval_session/1,0,tom,0,18,0,18,0,0.0,1.0,0.0,
0,drummer1/eval_session/1,0,hihat,7,10,7,3,0,0.7,1.0,0.8235294117647058,0.012215387806137108
0,drummer1/eval_session/1,0,cymbal,9,10,8,2,1,0.8,0.8888888888888888,0.8421052631578948,0.019519230860439597
1,drummer1/eval_session/1,4,kick,4,15,4,11,0,0.26666666666666666,1.0,0.4210526315789474,0.004122487646242479
1,drummer1/eval_session/1,4,snare,7,14,5,9,2,0.35714285714285715,0.7142857142857143,0.4761904761904762,0.002934293530154941
1,drummer1/eval_session/1,4,tom,0,14,0,14,0,0.0,1.0,0.0,
1,drummer1/eval_session/1,4,hihat,8,10,7,3,1,0.7,0.875,0.7777777777777777,0.008756083650306319
1,drummer1/eval_session/1,4,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.026290279082159862
2,drummer1/eval_session/1,8,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.0038675629071052453
2,drummer1/eval_session/1,8,snare,5,10,5,5,0,0.5,1.0,0.6666666666666666,0.004949429551642094
2,drummer1/eval_session/1,8,tom,0,11,0,11,0,0.0,1.0,0.0,
2,drummer1/eval_session/1,8,hihat,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.005644512300352105
2,drummer1/eval_session/1,8,cymbal,8,11,8,3,0,0.7272727272727273,1.0,0.8421052631578948,0.014966012928972792
3,drummer1/eval_session/1,16,kick,4,14,4,10,0,0.2857142857142857,1.0,0.4444444444444445,0.004158773077799684
3,drummer1/eval_session/1,16,snare,9,12,6,6,3,0.5,0.6666666666666666,0.5714285714285715,0.0026439981219990327
3,drummer1/eval_session/1,16,tom,0,13,0,13,0,0.0,1.0,0.0,
3,drummer1/eval_session/1,16,hihat,8,13,7,6,1,0.5384615384615384,0.875,0.6666666666666667,0.002164546399777625
3,drummer1/eval_session/1,16,cymbal,8,14,7,7,1,0.5,0.875,0.6363636363636364,0.024070643536242064
4,drummer1/eval_session/1,20,kick,4,17,4,13,0,0.23529411764705882,1.0,0.38095238095238093,0.0028775376130884237
4,drummer1/eval_session/1,20,snare,7,12,6,6,1,0.5,0.8571428571428571,0.631578947368421,0.00869688814774843
4,drummer1/eval_session/1,20,tom,0,14,0,14,0,0.0,1.0,0.0,
4,drummer1/eval_session/1,20,hihat,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.014351106455382465
4,drummer1/eval_session/1,20,cymbal,8,11,7,4,1,0.6363636363636364,0.875,0.7368421052631579,0.023827030121396784
5,drummer1/eval_session/1,24,kick,3,14,3,11,0,0.21428571428571427,1.0,0.35294117647058826,0.0013129174219091181
5,drummer1/eval_session/1,24,snare,4,10,4,6,0,0.4,1.0,0.5714285714285715,0.004928515792028174
5,drummer1/eval_session/1,24,tom,0,14,0,14,0,0.0,1.0,0.0,
5,drummer1/eval_session/1,24,hihat,8,8,7,1,1,0.875,0.875,0.875,0.00892460568711173
5,drummer1/eval_session/1,24,cymbal,8,8,7,1,1,0.875,0.875,0.875,0.01821374842137399
6,drummer1/eval_session/1,32,kick,4,16,3,13,1,0.1875,0.75,0.3,0.006348143274567071
6,drummer1/eval_session/1,32,snare,8,11,6,5,2,0.5454545454545454,0.75,0.631578947368421,0.004395830761233004
6,drummer1/eval_session/1,32,tom,0,12,0,12,0,0.0,1.0,0.0,
6,drummer1/eval_session/1,32,hihat,8,12,8,4,0,0.6666666666666666,1.0,0.8,0.009635253227959963
6,drummer1/eval_session/1,32,cymbal,8,13,8,5,0,0.6153846153846154,1.0,0.761904761904762,0.023641377267387607
7,drummer1/eval_session/1,36,kick,4,14,3,11,1,0.21428571428571427,0.75,0.3333333333333333,0.004146658962906437
