epoch,train_loss,train_diffusion_loss,train_audio_wave_l1,train_audio_mrstft,train_x0,train_x0_loss,train_quant_embed_mse,train_rvq_ce,train_onset_weighted_x0,train_steps,train_batches_per_epoch,train_valid_tokens_seen,train_audio_seconds_seen,train_elapsed_sec,train_steps_per_sec,train_tokens_per_sec,train_audio_seconds_per_sec,train_peak_gpu_mem_allocated_mb,train_peak_gpu_mem_reserved_mb,val_loss,val_diffusion_loss,val_audio_wave_l1,val_audio_mrstft,val_x0,val_x0_loss,val_quant_embed_mse,val_rvq_ce,val_onset_weighted_x0,val_steps,val_valid_tokens_seen,val_audio_seconds_seen,val_elapsed_sec,val_steps_per_sec,val_tokens_per_sec,val_audio_seconds_per_sec,val_peak_gpu_mem_allocated_mb,val_peak_gpu_mem_reserved_mb,best_val_loss,checkpoint_metric_name,checkpoint_metric_value,best_checkpoint_metric_value,best_checkpoint_epoch,global_step,checkpoint_improved
0,0.9570483844216521,0.4887863507068269,0.0,0.0,0.4888963705738208,0.0,0.0,4.682620247798179,0.0,2881,2881,1835541,21312.51006603241,373.43580857198685,7.714846658698592,4915.278497311445,57.07141515842078,3899.12890625,5154.0,0.900937661062926,0.470228257792769,0.0,0.0,0.4264873879462054,0.0,0.0,4.307093969701479,0.0,384,274276,3184.7999968528748,24.42724254098721,15.720153404776442,11228.28332095954,130.3790221720279,1814.02099609375,5772.0,0.900937661062926,val_loss,0.900937661062926,0.900937661062926,0,2881,True
1,0.8808410410995245,0.46196435707796163,0.0,0.0,0.4069196520746918,0.0,0.0,4.188766768122663,0.0,2881,2881,1835541,21312.51001739502,364.01710824808106,7.914463179671686,5042.4580559797805,58.54809989554212,3871.8525390625,5772.0,0.8666356190418204,0.4546999066272595,0.0,0.0,0.40276546542979,0.0,0.0,4.119357063745459,0.0,384,274276,3184.7999968528748,23.98831152403727,16.0077961141707,11433.73512242261,132.76465889070911,1814.02099609375,5772.0,0.8666356190418204,val_loss,0.8666356190418204,0.8666356190418204,1,5762,True
2,0.8564208290594314,0.4523202761573247,0.0,0.0,0.41555389335426846,0.0,0.0,4.04100545325324,0.0,2881,2881,1835541,21312.51002550125,361.2869232960511,7.9742714563715555,5080.563069524367,58.990538132588426,3894.58837890625,5772.0,0.8509593129468461,0.4391718270101895,0.0,0.0,0.3833319190052862,0.0,0.0,4.117874770580481,0.0,384,274276,3184.7999968528748,23.791805581888184,16.140010840216554,11528.170867737592,133.86121477376835,1814.02099609375,5772.0,0.8509593129468461,val_loss,0.8509593129468461,0.8509593129468461,2,8643,True
3,0.8363926952516648,0.4361655941101794,0.0,0.0,0.38943939595439603,0.0,0.0,4.002270946110425,0.0,2881,2881,1835541,21312.510028362274,361.99543979601003,7.958663793177857,5070.619124468406,58.87507875892636,3872.1064453125,5772.0,0.8310004967885712,0.43752837685557705,0.0,0.0,0.44967653137791785,0.0,0.0,3.9347211258330694,0.0,384,274276,3184.7999968528748,23.69594497885555,16.20530433973628,11574.807429910177,134.40274273487498,1814.02099609375,5772.0,0.8310004967885712,val_loss,0.8310004967885712,0.8310004967885712,3,11524,True
4,0.8205566369216917,0.4320395023467298,0.0,0.0,0.37635297161219555,0.0,0.0,3.8851712755095997,0.0,2881,2881,1835541,21312.51003217697,361.1654480099678,7.976953542689076,5082.2718787577405,59.01037917555382,3874.39013671875,5772.0,0.8132810841004053,0.43034629023168236,0.0,0.0,0.352260103461352,0.0,0.0,3.829347880091518,0.0,384,274276,3184.7999968528748,24.0306306630373,15.979605586908269,11413.599744674095,132.5308537054574,1814.02099609375,5772.0,0.8132810841004053,val_loss,0.8132810841004053,0.8132810841004053,4,14405,True
5,0.8059242349538237,0.4284971145876153,0.0,0.0,0.360987700506106,0.0,0.0,3.7742711289274076,0.0,2881,2881,1835541,21312.510053157806,361.6479180599563,7.966311586846657,5075.491682204824,58.9316542107799,3894.10107421875,5772.0,0.8026604747089247,0.4103364962696408,0.0,0.0,0.39220033283466665,0.0,0.0,3.9232397127586105,0.0,384,274276,3184.7999968528748,23.660473302938044,16.229599259635975,11592.160329520615,134.60423872659393,1814.02099609375,5772.0,0.8026604747089247,val_loss,0.8026604747089247,0.8026604747089247,5,17286,True
6,0.7972252880769735,0.41765591626775445,0.0,0.0,0.36264468160422675,0.0,0.0,3.7956936497089973,0.0,2881,2881,1835541,21312.51007270813,361.3191716510337,7.9735597389847435,5080.109620567788,58.985273256665174,3891.8310546875,5772.0,0.7971508211145798,0.4208471268066205,0.0,0.0,0.3417823676924551,0.0,0.0,3.7630368772273264,0.0,384,274276,3184.7999968528748,24.241952636046335,15.840308153602072,11314.105101920213,131.37555561911574,1814.02099609375,5772.0,0.7971508211145798,val_loss,0.7971508211145798,0.7971508211145798,6,20167,True
7,0.7892332682382808,0.4180791411142834,0.0,0.0,0.365073645291045,0.0,0.0,3.711541205685985,0.0,2881,2881,1835541,21312.51005268097,361.0821878660936,7.978792908689286,5083.443774525665,59.023986141860476,3897.01708984375,5772.0,0.7846733648329973,0.41741169067487743,0.0,0.0,0.34623767634669395,0.0,0.0,3.6726166657172143,0.0,384,274276,3184.7999968528748,24.12301199696958,15.91841019057817,11369.890295393276,132.02331438764614,1814.02099609375,5772.0,0.7846733648329973,val_loss,0.7846733648329973,0.7846733648329973,7,23048,True
8,0.7797193458948397,0.40876806951401107,0.0,0.0,0.37742257096097703,0.0,0.0,3.709512689561738,0.0,2881,2881,1835541,21312.51005601883,360.9560928528663,7.981580189517287,5085.219605222753,59.044605363418206,3880.447265625,5772.0,0.7716148177472254,0.3957059855553477,0.0,0.0,0.36725733933659893,0.0,0.0,3.759088258103778,0.0,384,274276,3184.7999968528748,23.375147385988384,16.427703905310075,11733.658636283402,136.2472691300299,1814.02099609375,5772.0,0.7716148177472254,val_loss,0.7716148177472254,0.7716148177472254,8,25929,True
9,0.7745554958189249,0.41026317287483427,0.0,0.0,0.36595099258079156,0.0,0.0,3.642923167133778,0.0,2881,2881,1835541,21312.5100274086,360.8664505709894,7.983562881618588,5086.482816830637,59.059272464055276,3894.62744140625,5772.0,0.7706820374975601,0.41230968646899174,0.0,0.0,0.3345123438205822,0.0,0.0,3.5837234505452216,0.0,384,274276,3184.7999968528748,24.13633366394788,15.909624276265939,11363.614864575824,131.9504462108911,1814.02099609375,5772.0,0.7706820374975601,val_loss,0.7706820374975601,0.7706820374975601,9,28810,True
10,0.765084060580728,0.3987063102140319,0.0,0.0,0.3767131321946484,0.0,0.0,3.6637774349314105,0.0,2881,2881,1835541,21312.510021686554,362.86840595281683,7.939517336691504,5058.420545542541,58.73344075168061,3898.69482421875,5772.0,0.7658285186626017,0.4150953541393392,0.0,0.0,0.3167509593379994,0.0,0.0,3.5073315690582,0.0,384,274276,3184.7999968528748,23.848621604964137,16.101559509840587,11500.706604481868,133.54230905277782,1814.02099609375,5772.0,0.7658285186626017,val_loss,0.7658285186626017,0.7658285186626017,10,31691,True
11,0.7613323529699286,0.40533151863228833,0.0,0.0,0.33582770260660566,0.0,0.0,3.560008276381951,0.0,2881,2881,1835541,21312.510010242462,359.2649016168434,8.0191524054654,5109.157593016441,59.322549779639445,3877.1728515625,5772.0,0.7602385166101158,0.3954801411988835,0.0,0.0,0.3508046301600795,0.0,0.0,3.6475836895406246,0.0,384,274276,3184.7999968528748,23.61370606883429,16.26174217975927,11615.118745040763,134.87082407010308,1814.02099609375,5772.0,0.7602385166101158,val_loss,0.7602385166101158,0.7602385166101158,11,34572,True
12,0.755828523917233,0.39564642753660245,0.0,0.0,0.3559793247899486,0.0,0.0,3.6018208920521193,0.0,2881,2881,1835541,21312.51005935669,362.36115566897206,7.950631448564761,5065.501561863939,58.81565870384384,3878.50048828125,5772.0,0.7537318645045161,0.3950229015705797,0.0,0.0,0.3521087125942965,0.0,0.0,3.58708956434081,0.0,384,274276,3184.7999968528748,24.189386882120743,15.874730594508303,11338.691688904582,131.66104673809969,1814.02099609375,5772.0,0.7537318645045161,val_loss,0.7537318645045161,0.7537318645045161,12,37453,True
13,0.7526961802732858,0.3937070284378856,0.0,0.0,0.3423417293706166,0.0,0.0,3.589891451446185,0.0,2881,2881,1835541,21312.510023117065,361.34381921892054,7.973015855723114,5079.763101988844,58.98124968398825,3872.0205078125,5772.0,0.7459892759410044,0.3879145589695933,0.0,0.0,0.32626137980939046,0.0,0.0,3.5807470882621906,0.0,384,274276,3184.7999968528748,23.53466867795214,16.316354619419,11654.126248947305,135.32376599108338,1814.02099609375,5772.0,0.7459892759410044,val_loss,0.7459892759410044,0.7459892759410044,13,40334,True
14,0.747710148707234,0.39244926135556457,0.0,0.0,0.33722788432363454,0.0,0.0,3.5526088066024113,0.0,2881,2881,1835541,21312.510046482086,361.6495804199949,7.966274968864074,5075.468352177622,58.93138330682205,3869.97021484375,5772.0,0.7420436912216246,0.3889542716691115,0.0,0.0,0.3276041934574702,0.0,0.0,3.530894129537046,0.0,384,274276,3184.7999968528748,23.748173404019326,16.169664650293015,11549.351410478559,134.10715606084696,1814.02099609375,5772.0,0.7420436912216246,val_loss,0.7420436912216246,0.7420436912216246,14,43215,True
15,0.7423093106671366,0.38937689721227436,0.0,0.0,0.33811778318478297,0.0,0.0,3.5293240707518945,0.0,2881,2881,1835541,21312.510023593903,362.58206947683357,7.945787292121117,5062.415255802599,58.77982343237638,3872.193359375,5772.0,0.7381396630468468,0.3841363537067082,0.0,0.0,0.320252339172536,0.0,0.0,3.540033023804426,0.0,384,274276,3184.7999968528748,24.172836896963418,15.885599263205965,11346.454748737184,131.75118875902183,1814.02099609375,5772.0,0.7381396630468468,val_loss,0.7381396630468468,0.7381396630468468,15,46096,True
16,0.7410858696076408,0.385864037129781,0.0,0.0,0.3618831053623171,0.0,0.0,3.5522182555051365,0.0,2881,2881,1835541,21312.510044574738,362.1947673938703,7.954283880824385,5067.828597324635,58.8426779269242,3895.09619140625,5772.0,0.7344369720667601,0.3787824095828303,0.0,0.0,0.3493201385111509,0.0,0.0,3.5565455663794032,0.0,384,274276,3184.7999968528748,23.61934098112397,16.2578625841798,11612.347703485675,134.83864767429765,1814.02099609375,5772.0,0.7344369720667601,val_loss,0.7344369720667601,0.7344369720667601,16,48977,True
17,0.7377661670383916,0.3830089696328369,0.0,0.0,0.3470976138065599,0.0,0.0,3.547571917481821,0.0,2881,2881,1835541,21312.51006269455,361.9658635959495,7.9593140949224015,5071.03344432765,58.879889531475264,3902.177734375,5772.0,0.7335524150791267,0.37689768191679224,0.0,0.0,0.33394775069852284,0.0,0.0,3.566547292905549,0.0,384,274276,3184.7999968528748,24.357442558044568,15.7652019125126,11260.459686865379,130.75264323269548,1814.02099609375,5772.0,0.7335524150791267,val_loss,0.7335524150791267,0.7335524150791267,17,51858,True
18,0.7349547586665307,0.38339133234419825,0.0,0.0,0.3318097096761506,0.0,0.0,3.5156341956767387,0.0,2881,2881,1835541,21312.51005744934,365.85115681099705,7.874787181521358,5017.179707725406,58.254592504841064,3894.10107421875,5772.0,0.7337199859321117,0.3838123718548256,0.0,0.0,0.31861427900366834,0.0,0.0,3.4990760791115463,0.0,384,274276,3184.7999968528748,23.59036434814334,16.277832522337555,11626.611439835038,135.00427334872987,1814.02099609375,5772.0,0.7335524150791267,val_loss,0.7337199859321117,0.7335524150791267,17,54739,False
19,0.7318978611275124,0.37998872376262044,0.0,0.0,0.3409206046304526,0.0,0.0,3.5190913092754896,0.0,2881,2881,1835541,21312.51002931595,363.6616019329522,7.922200157197697,5047.387434482061,58.60533505884217,3899.0859375,5772.0,0.7245608985734483,0.3772426195209846,0.0,0.0,0.32883909086861723,0.0,0.0,3.4731827178038657,0.0,384,274276,3184.7999968528748,23.620194202056155,16.257275309217082,11611.928236226106,134.83377696258043,1814.02099609375,5772.0,0.7245608985734483,val_loss,0.7245608985734483,0.7245608985734483,19,57620,True
20,0.7298957294616712,0.3806402368929414,0.0,0.0,0.3285334007003135,0.0,0.0,3.4925548602871825,0.0,2881,2881,1835541,21312.51003217697,362.8749576949049,7.939373987946185,5058.329215275504,58.73238034269627,3876.97705078125,5772.0,0.7243088739924133,0.3876121495074282,0.0,0.0,0.3100177554927844,0.0,0.0,3.366967181985577,0.0,384,274276,3184.7999968528748,23.525216978043318,16.322910022823464,11658.808514114397,135.37813486801542,1814.02099609375,5772.0,0.7243088739924133,val_loss,0.7243088739924133,0.7243088739924133,20,60501,True
