model,n_seeds,macro_f1_mean,macro_f1_std,macro_precision_mean,macro_recall_mean,macro_timing_ms_mean,kick_f1_mean,snare_f1_mean,tom_f1_mean,hihat_f1_mean,cymbal_f1_mean,kick_timing_ms_mean,snare_timing_ms_mean,tom_timing_ms_mean,hihat_timing_ms_mean,cymbal_timing_ms_mean
diffusion_pca_25steps,5,0.37712894145714243,0.0005336174571895639,0.26150393884526957,0.9087799749639981,8.51687254378946,0.37392422134941244,0.44423912765098156,0.13662774066294836,0.6868898968677749,0.24396372075459477,7.441364326215139,8.539092451294188,7.075999616987531,8.602654801386924,10.925251523063519
diffusion_pca_rvq_ce_12steps,5,0.37001840100015554,0.0005133903294088783,0.25539347598371015,0.906057574076484,8.144681618240266,0.36401149224256524,0.4361708583958232,0.13094661396513776,0.6816849110287609,0.2372781293684906,6.713983601593981,7.781596840929112,7.281470365488796,8.176816653080191,10.769540630109244
direct_pca_d1024_l6,1,0.43617277176990454,0.0,0.3259643882412026,0.8221423071853288,7.1621574632726395,0.5480624056366382,0.4698427599155128,0.17966662425244945,0.721621959868174,0.2616701091767483,6.252304399127712,6.690344630371137,6.808202647142282,7.616815161264497,8.443120478457567
direct_pca_d1024_l8,1,0.43796576693636025,0.0,0.33033091913207635,0.808432091081509,7.401325895927873,0.555332406406097,0.4785775903383494,0.18035596572181936,0.7178621184616034,0.257700753753932,6.495197606287893,6.65481267856259,6.735768356725929,7.783451607704765,9.337399230358185
grid_render,1,0.4328140056241575,0.0,0.3049589593580393,0.9296996346317913,5.129111497796844,0.5038735667802914,0.5568893922234806,0.18179001187832464,0.6902600635796086,0.2312569936590824,5.882688974237684,3.984905556334331,3.729734879837024,5.587361351920865,6.460866726654317
symbolic_nn_train,1,0.25814157266608034,0.0,0.17906154157486837,0.6227106864717012,20.547104720445027,0.281308914624293,0.31161531343181276,0.09617398308497786,0.42187563627478925,0.17973401591452895,18.24486565855308,21.463380341093014,20.553118559265005,20.814572349208753,21.65958669410529
