epoch,train_loss,train_diffusion_loss,train_audio_wave_l1,train_audio_mrstft,train_x0,train_x0_loss,train_timbre_proj_mse,train_quant_embed_mse,train_rvq_ce,train_onset_weighted_x0,train_steps,train_batches_per_epoch,train_valid_tokens_seen,train_audio_seconds_seen,train_elapsed_sec,train_steps_per_sec,train_tokens_per_sec,train_audio_seconds_per_sec,train_peak_gpu_mem_allocated_mb,train_peak_gpu_mem_reserved_mb,val_loss,val_diffusion_loss,val_audio_wave_l1,val_audio_mrstft,val_x0,val_x0_loss,val_timbre_proj_mse,val_quant_embed_mse,val_rvq_ce,val_onset_weighted_x0,val_steps,val_valid_tokens_seen,val_audio_seconds_seen,val_elapsed_sec,val_steps_per_sec,val_tokens_per_sec,val_audio_seconds_per_sec,val_peak_gpu_mem_allocated_mb,val_peak_gpu_mem_reserved_mb,best_val_loss,checkpoint_metric_name,checkpoint_metric_value,best_checkpoint_metric_value,best_checkpoint_epoch,global_step,checkpoint_improved
0,0.46059731238692,0.46059731238692,0.0,0.0,0.4962135338240957,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51006603241,418.4856783412397,6.884345508356413,4386.150100227018,50.927692795866385,6116.8017578125,9244.0,0.45748074669972993,0.45748074669972993,0.0,0.0,0.5503213783473863,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,26.32285314053297,14.588084276043071,10419.691153374972,120.98992384487356,2377.5263671875,8686.0,0.45748074669972993,val_loss,0.45748074669972993,0.45748074669972993,0,2881,True
1,0.42635545389470086,0.42635545389470086,0.0,0.0,0.4701076333722341,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51001739502,420.42931648157537,6.852519286975686,4365.872997061659,50.69225475462058,6116.8017578125,8688.0,0.4265827138297027,0.4265827138297027,0.0,0.0,0.384412908097147,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,24.619642987847328,15.59730172324387,11140.535227719885,129.360121039324,2377.5263671875,8688.0,0.4265827138297027,val_loss,0.4265827138297027,0.4265827138297027,1,5762,True
2,0.41483008062951227,0.41483008062951227,0.0,0.0,0.42999964150257797,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51002550125,457.90807316079736,6.291655834135771,4008.536008832144,46.5432065400979,6116.8017578125,8688.0,0.40351722060586326,0.40351722060586326,0.0,0.0,0.3892167859109274,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,28.816762179136276,13.32557757921954,9517.93259405734,110.51900893844045,2377.5263671875,8688.0,0.40351722060586326,val_loss,0.40351722060586326,0.40351722060586326,2,8643,True
3,0.4032082784926103,0.4032082784926103,0.0,0.0,0.4608874966644839,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510028362274,478.3764614313841,6.022453511570272,3837.0219857970183,44.55175316233496,6116.8017578125,8688.0,0.40404067080332123,0.40404067080332123,0.0,0.0,0.4394185787095921,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,29.029138449579477,13.228088069749887,9448.299696402917,109.7104553200755,2377.5263671875,8688.0,0.40351722060586326,val_loss,0.40404067080332123,0.40351722060586326,2,11524,False
4,0.39569524979717957,0.39569524979717957,0.0,0.0,0.4026209518820285,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51003217697,477.1262035127729,6.038234703499939,3847.0764893776404,44.66849624955973,6116.8017578125,8688.0,0.3775542063716178,0.3775542063716178,0.0,0.0,0.509423056297237,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,28.39467424340546,13.523662807619013,9659.41703182946,112.16187829985515,2377.5263671875,8688.0,0.3775542063716178,val_loss,0.3775542063716178,0.3775542063716178,4,14405,True
5,0.3842923852780893,0.3842923852780893,0.0,0.0,0.42084859342872577,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510053157806,482.50757097266614,5.970890765905117,3804.170360062563,44.17031220918428,6116.8017578125,8688.0,0.38376626546960324,0.38376626546960324,0.0,0.0,0.362061863100583,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,28.05679768882692,13.686522754980004,9775.741445689831,113.51259798694561,2377.5263671875,8688.0,0.3775542063716178,val_loss,0.38376626546960324,0.3775542063716178,4,17286,False
6,0.3790966832779748,0.3790966832779748,0.0,0.0,0.4319626956567794,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51007270813,461.81410544738173,6.238440892161654,3974.631736771709,46.14954333640733,6116.8017578125,8688.0,0.37479406112106517,0.37479406112106517,0.0,0.0,0.47659172772061237,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,27.876752369105816,13.774918789520292,9838.879234152259,114.24573259768965,2377.5263671875,8688.0,0.37479406112106517,val_loss,0.37479406112106517,0.37479406112106517,6,20167,True
7,0.3741182049822692,0.3741182049822692,0.0,0.0,0.3917715014668077,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51005268097,456.03885795362294,6.317444116336649,4024.966223791978,46.73397821474317,6116.8017578125,8688.0,0.36215869961840025,0.36215869961840025,0.0,0.0,0.3740353273945705,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,28.21740934625268,13.608619958266859,9720.098561650002,112.86649166734442,2377.5263671875,8688.0,0.36215869961840025,val_loss,0.36215869961840025,0.36215869961840025,7,23048,True
8,0.3729779107700768,0.3729779107700768,0.0,0.0,0.4002166915981048,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.51005601883,464.8186703007668,6.19811591934509,3948.939914165431,45.85123493905333,6116.8017578125,8688.0,0.37067343207794085,0.37067343207794085,0.0,0.0,0.3507278524242186,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,28.43267087638378,13.50559015962693,9646.508454744364,112.01198827571892,2377.5263671875,8688.0,0.36215869961840025,val_loss,0.37067343207794085,0.36215869961840025,7,25929,False
9,0.36648322484484774,0.36648322484484774,0.0,0.0,0.38976956837277515,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.5100274086,475.71867042966187,6.056100336356201,3858.4590307169724,44.800659196662316,6116.8017578125,8688.0,0.3626092840859201,0.3626092840859201,0.0,0.0,0.3992991518704609,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,30.126826567575336,12.74611513226184,9104.045505250646,105.71309227373408,2377.5263671875,8688.0,0.36215869961840025,val_loss,0.3626092840859201,0.36215869961840025,7,28810,False
10,0.36161901454510104,0.36161901454510104,0.0,0.0,0.40937677807123224,0.0,0.0,0.0,0.0,0.0,2881,2881,1835541,21312.510021686554,483.09889599867165,5.963582247573428,3799.513961226372,44.1162465867965,6116.8017578125,8688.0,0.356438786945849,0.356438786945849,0.0,0.0,0.4142941154665702,0.0,0.0,0.0,0.0,0.0,384,274276,3184.7999968528748,29.662731828168035,12.945537256125197,9246.484834533841,107.36704951189142,2377.5263671875,8688.0,0.356438786945849,val_loss,0.356438786945849,0.356438786945849,10,31691,True
