epoch,train_loss,train_diffusion_loss,train_audio_wave_l1,train_audio_mrstft,train_x0,train_x0_loss,train_quant_embed_mse,train_rvq_ce,train_onset_weighted_x0,train_steps,train_batches_per_epoch,train_valid_tokens_seen,train_audio_seconds_seen,train_elapsed_sec,train_steps_per_sec,train_tokens_per_sec,train_audio_seconds_per_sec,train_peak_gpu_mem_allocated_mb,train_peak_gpu_mem_reserved_mb,val_loss,val_diffusion_loss,val_audio_wave_l1,val_audio_mrstft,val_x0,val_x0_loss,val_quant_embed_mse,val_rvq_ce,val_onset_weighted_x0,val_steps,val_valid_tokens_seen,val_audio_seconds_seen,val_elapsed_sec,val_steps_per_sec,val_tokens_per_sec,val_audio_seconds_per_sec,val_peak_gpu_mem_allocated_mb,val_peak_gpu_mem_reserved_mb,best_val_loss,checkpoint_metric_name,checkpoint_metric_value,best_checkpoint_metric_value,best_checkpoint_epoch,global_step,checkpoint_improved
0,0.9560943834899988,0.48867604325317604,0.0,0.0,0.48882868677246455,0.0,0.0,4.67418332242254,0.0,2881,2881,1835541,21312.51006603241,371.1089131489862,7.763219631546245,4946.097856892755,57.4292594731516,4300.14013671875,5882.0,0.902298079803586,0.47028539804159664,0.0,0.0,0.42610789818960865,0.0,0.0,4.320126738399267,0.0,384,274276,3184.7999968528748,24.301520121051,15.801480651712938,11286.372154242754,131.05353002564095,1914.162109375,6658.0,0.902298079803586,val_loss,0.902298079803586,0.902298079803586,0,2881,True
1,0.8811577757337531,0.4622563335621721,0.0,0.0,0.4070147249396051,0.0,0.0,4.189014345004053,0.0,2881,2881,1835541,21312.51001739502,365.67656486900523,7.878546991470587,5019.575155595596,58.2824059973045,4281.4658203125,6658.0,0.8667771780552963,0.45505334190481034,0.0,0.0,0.4027412737729416,0.0,0.0,4.117238276793311,0.0,384,274276,3184.7999968528748,24.58794921799563,15.617406583829894,11154.895333819082,129.52686572664456,1914.162109375,6658.0,0.8667771780552963,val_loss,0.8667771780552963,0.8667771780552963,1,5762,True
2,0.8569710071572658,0.4530469545786143,0.0,0.0,0.415818815293642,0.0,0.0,4.039240455159873,0.0,2881,2881,1835541,21312.51002550125,361.96802910696715,7.9592664775060005,5071.003106347741,58.87953717371838,4293.34765625,6658.0,0.8523041672694186,0.440042905548277,0.0,0.0,0.38348283039401093,0.0,0.0,4.1226125576843815,0.0,384,274276,3184.7999968528748,24.4329473269172,15.716482946654425,11225.66165801195,130.34858031000851,1914.162109375,6658.0,0.8523041672694186,val_loss,0.8523041672694186,0.8523041672694186,2,8643,True
3,0.8371566891132316,0.437286629851976,0.0,0.0,0.38894573753587813,0.0,0.0,3.9987005158167506,0.0,2881,2881,1835541,21312.510028362274,364.81682852399535,7.897113769823,5031.404410334842,58.41975578426605,4282.271484375,6660.0,0.8314245633470515,0.439457907739173,0.0,0.0,0.44974795871409395,0.0,0.0,3.919666487025097,0.0,384,274276,3184.7999968528748,24.814216206083074,15.475000169695646,11053.18006912355,128.34578253058575,1914.162109375,6660.0,0.8314245633470515,val_loss,0.8314245633470515,0.8314245633470515,3,11524,True
4,0.8225400436673467,0.434198516520262,0.0,0.0,0.3770193575171211,0.0,0.0,3.8834152046134593,0.0,2881,2881,1835541,21312.51003217697,363.9109191100579,7.9167726185448615,5043.929444295888,58.56518426074325,4285.8662109375,6660.0,0.8176926545177897,0.43348404884454794,0.0,0.0,0.3537923970616248,0.0,0.0,3.842085971031338,0.0,384,274276,3184.7999968528748,24.42890342604369,15.719084614768956,11227.519926563464,130.3701578949121,1914.162109375,6660.0,0.8176926545177897,val_loss,0.8176926545177897,0.8176926545177897,4,14405,True
5,0.8085056155640729,0.4307849555664574,0.0,0.0,0.361824769107932,0.0,0.0,3.7772065298150124,0.0,2881,2881,1835541,21312.510053157806,363.7784040730912,7.919656493465573,5045.766816963655,58.58651809598803,4292.80908203125,6660.0,0.8052732640256485,0.4120203122923461,0.0,0.0,0.3876386489973811,0.0,0.0,3.932529447445025,0.0,384,274276,3184.7999968528748,24.516354302875698,15.663013972471344,11187.470886233205,129.9051220058158,1914.162109375,6660.0,0.8052732640256485,val_loss,0.8052732640256485,0.8052732640256485,5,17286,True
6,0.799261394493781,0.4194739407057079,0.0,0.0,0.36306706067974426,0.0,0.0,3.797874465207183,0.0,2881,2881,1835541,21312.51007270813,364.56384523701854,7.9025938464274725,5034.895873469395,58.4602953670624,4289.93359375,6660.0,0.7938825562596321,0.4213434709139013,0.0,0.0,0.3398545423527442,0.0,0.0,3.725390757744511,0.0,384,274276,3184.7999968528748,24.692252791952342,15.551436445894181,11107.775475609564,128.9797258956809,1914.162109375,6660.0,0.7938825562596321,val_loss,0.7938825562596321,0.7938825562596321,6,20167,True
7,0.7906601892002586,0.41944018740262556,0.0,0.0,0.3661780058510061,0.0,0.0,3.7121999470652165,0.0,2881,2881,1835541,21312.51005268097,365.6838108589873,7.878390878810201,5019.475693190612,58.281251233457986,4298.0849609375,6660.0,0.7856375006958842,0.4183866712652768,0.0,0.0,0.34638158687933657,0.0,0.0,3.6725082279493413,0.0,384,274276,3184.7999968528748,24.893515265081078,15.425704080397555,11017.969823841458,127.93693309037373,1914.162109375,6660.0,0.7856375006958842,val_loss,0.7856375006958842,0.7856375006958842,7,23048,True
8,0.7805573357678419,0.40967413178085504,0.0,0.0,0.3782982042868108,0.0,0.0,3.708831970371417,0.0,2881,2881,1835541,21312.51005601883,364.6217323129531,7.901339236486462,5034.0965371328,58.451014208133934,4288.4326171875,6660.0,0.7715024203062057,0.39587110229573835,0.0,0.0,0.3642889101223166,0.0,0.0,3.756313099525869,0.0,384,274276,3184.7999968528748,24.180507281096652,15.880560136147174,11342.855499744537,131.7093954990193,1914.162109375,6660.0,0.7715024203062057,val_loss,0.7715024203062057,0.7715024203062057,8,25929,True
9,0.775060751958673,0.41086213289592277,0.0,0.0,0.3663387321870281,0.0,0.0,3.6419861288440596,0.0,2881,2881,1835541,21312.5100274086,364.2236705580726,7.90997464713279,5039.598324808319,58.51489551668357,4293.41015625,6660.0,0.7710964381694794,0.4132246604228082,0.0,0.0,0.3360340600908482,0.0,0.0,3.57871770625934,0.0,384,274276,3184.7999968528748,24.836887093028054,15.4608747288541,11043.090825862466,128.22862965572196,1914.162109375,6660.0,0.7710964381694794,val_loss,0.7710964381694794,0.7710964381694794,9,28810,True
10,0.7654561428136604,0.3990961046283628,0.0,0.0,0.37691803128872015,0.0,0.0,3.663600318508817,0.0,2881,2881,1835541,21312.510021686554,364.1689280627761,7.911163688032627,5040.355885836548,58.523691560013226,4299.3154296875,6660.0,0.7657210038354,0.41459454511641525,0.0,0.0,0.31617518462614197,0.0,0.0,3.511264526595672,0.0,384,274276,3184.7999968528748,24.589085867162794,15.616684657350694,11154.379690311247,129.52087824891362,1914.162109375,6660.0,0.7657210038354,val_loss,0.7657210038354,0.7657210038354,10,31691,True
11,0.7611483535142625,0.4054078584726343,0.0,0.0,0.3364485733856598,0.0,0.0,3.557404885727347,0.0,2881,2881,1835541,21312.510010242462,365.0377718070522,7.892333951465188,5028.359095316336,58.38439650981544,4286.5224609375,6660.0,0.7576161571778357,0.3950690460963718,0.0,0.0,0.35077724417472683,0.0,0.0,3.6254710252396762,0.0,384,274276,3184.7999968528748,24.627213031053543,15.592507342012164,11137.110790983666,129.32035764002282,1914.162109375,6660.0,0.7576161571778357,val_loss,0.7576161571778357,0.7576161571778357,11,34572,True
12,0.7554951929582651,0.39563440101777864,0.0,0.0,0.35674230440955185,0.0,0.0,3.5986078477017545,0.0,2881,2881,1835541,21312.51005935669,363.18723539612256,7.932547510536098,5053.979934063499,58.68188081035247,4289.37890625,6660.0,0.7528732985568544,0.3945793080201838,0.0,0.0,0.34948840254946845,0.0,0.0,3.582939836817483,0.0,384,274276,3184.7999968528748,24.331134679960087,15.782247932574837,11272.634984257542,130.89401866144695,1914.162109375,6660.0,0.7528732985568544,val_loss,0.7528732985568544,0.7528732985568544,12,37453,True
13,0.7527654341673197,0.39377072921132034,0.0,0.0,0.34255975710453723,0.0,0.0,3.5899469767105905,0.0,2881,2881,1835541,21312.510023117065,365.60140530206263,7.880166646568812,5020.607069284819,58.29438758723728,4282.173828125,6660.0,0.7460994638192157,0.3884921171217381,0.0,0.0,0.3267932826517305,0.0,0.0,3.5760733946226537,0.0,384,274276,3184.7999968528748,24.626954761100933,15.5926708651181,11137.227589065447,129.32171385978134,1914.162109375,6660.0,0.7460994638192157,val_loss,0.7460994638192157,0.7460994638192157,13,40334,True
